id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
Ugz3Y3BrFP54kY3K6qp4AaABAg,Najwa Shihab,1 month ago,1557717294381,"Terima kasih sudah menonton episode Mata Najwa - Laga Usai Pilpres, cek episode lengkapnya di https://www.narasi.tv atau klik disini http://bit.ly/2GRG7qj",973,true,88,,,,,,
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQR2NBsYQP,JOKO MBUDEG,1 month ago,1557717294820,4 hari lagi puasa mbak😂,1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQRDQAjuiM,Nea Miranda,1 month ago,1557717294822,Najwa Shihab cantik deh,2
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQRqKI2rRb,auk ah gelap,1 month ago,1557717294823,sama-sama kak,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQSPWE4SfD,Ismawati 18,1 month ago,1557717294825,"Bilang menang,tapi ngatain pemilu curang...",1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQUa_YAs6h,ardiansyah chanel,1 month ago,1557717294826,Iya mbak shihab yg sabar ya😅😂,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQVMXXt2H1,Lia Tema,1 month ago,1557717294828,BU mentri SUSI AKAN DI GANTI FADLI ZON ATAU FAHRI HAMZAH. COBA LIHAT DI SKEMA MENTRI PAK PRABOWO. 🙏🏼🇲🇨🙏🏼,1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQVjktD548,mawar 76 mawar 76,1 month ago,1557717294829,Najwa Shihab...singapore sll hadir,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQVoxzpmdw,mawar 76 mawar 76,1 month ago,1557717294830,Najwa Shihab singapore sll hadir,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQZ1IOr-f_,auk ah gelap,1 month ago,1557717294832,@Aldy Prisandy Siap Pleksident,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQZcHP4_zF,Waryono Iyo,1 month ago,1557717294834,Cebong gobglog,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQZlAIi7YB,Yudcrazy,1 month ago,1557717295440,Dari debat ini saya sadar bahwa seorang moderator debat harus tahan stres dan mental baja..... Luar biasa mbak Najwa...,6
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQ_hcZa3vF,Hari Yanto,1 month ago,1557717295441,sama sama mba najwa sehat selalu buat mba nya,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQdBOl_U1Z,PutraJava bf,1 month ago,1557717295443,Salam buat mbak Najwa...dan salam buat bang adian..salut atas kecerdasan anda2,1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQjLIDF-mR,Tuti Aseh,1 month ago,1557717295444,@PutraJava bf mantull bang adian,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQkXfHagDL,Amin N,1 month ago,1557717295446,Slm rakyat jelatA.ini kubu no02 memakai jurus mabuk panglima di pecat.,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQp-NM5w57,Mamahogus21 Mamahogus21,1 month ago,1557717295447,"Mba najwa i love u,,, mba najwa tanya dong tanya prabowo klo marah espresinya ky gitu apa nga mencontoh anak2 kita klo marah begitu menakutkan ,,, bukan'asebagai pemimpin hrs lembah mna klo orang jwa bilang",3
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQv9BcQr2d,Paschalia taek,1 month ago,1557717295449,"Mbak Najwa yang terhormat tolong, tolonglah lain x Jgn bawa Bang Adian untuk debat sama pelawak otak"" kosong itu. ksihan mreka tidak bisa mengimbangi kpintaran bang adian .",1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQv_AF0v_p,Massucipto Ae,1 month ago,1557717295450,Ga marah ...mau ngelwak ..kali ..wowo,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uQzLyt1_r7,Alia ponorogo,1 month ago,1557717295452,Najwa Shihab slmt malam kak nana.sprti biasa setiap selesai kerja.pasti nyari chanelnya kak nana.smoga sukses slalu ya.,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uR0oqF5Haj,Our Story,1 month ago,1557717295453,Kambing dengan rakyat yg terhormat ga apple to apple comparenya,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uR24EpQsTJ,Candra Raga,1 month ago,1557717295454,"Dari tampang Boyo Lali Sampek Rakyat Sebagai Kambing , Argumen Prabowo Kayak Anak Kecil yg Sedang Main Klereng Wkwkwkwk... 😂😂😂😂 kecurangan dari Kasus Ratna Sarompet, Futaan Jokowi PKI Fitnaan Jokowi AnteK Asing Antek Aseng, Semua yg Suda di Lakukan Kubu 02 itu Curang Semua Preet dan Sekarang Penghitungan Belom Slese Suda Deklarasi Presiden Berkali2 Kemenangan Dari Wasitnya Prabowo Sendiri Apa Gk Koncol itu Namanya, Dasar Penyerang Rakyat Awam",1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uR2A7WgfA4,Mar Son,1 month ago,1557717295456,"Waduh colon presiden kok gitu, dibawa kemana indonesia klo jd presiden",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uR5U_nfvjz,Bintoro Cokro A,1 month ago,1557717295457,"kalau bisa lanjut sampai 100 episode mbak nana, komedi banget ini, puas ngakak",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uR6WjxWVTV,Hendro Prasetio,1 month ago,1557717295458,"Abang adian asli pintar jawab....jawaban pintar, fakta dan menurut UU 😁👍😁👍
Suka wa nontonnya, bikin musuh jengkel dan tak bisa jawab, bikin temen ketawa 😂😂😂",1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uR6hd2Xrzs,Syahlutra Eddy,1 month ago,1557717295460,Mksih mba cantik,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uR6hfk-yEd,Budi Ratminto,1 month ago,1557717295461,Klo debat ...nggak ada mas arif nggak rame  😁😁😁👍👍👍,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uR9na1NBfz,feri budi anto 46,1 month ago,1557717295463,"udah cantik pinter
good luck mbak Najwa😊😊😊",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uR9u_BrbUA,Burhan Misti,1 month ago,1557717295464,Kita semua saudara ayo kita bersatu bangun negri ini,1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRDOuqPDZy,Fah Ri,1 month ago,1557717295465,Salut mbak nana👍👍👍,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRGSo7zc7w,prabu tarmin,1 month ago,1557717295467,"Lumayan dapet hiburann 
Sakit perutt ketawaaa mulu gue...
Nton srimulat milenial",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRHieVjrrZ,antasena Antasena,1 month ago,1557717295468,"Saya heran pemilu udah tp masih pada ngotot2an....apa nantinya smp nurun ke anak cucu seperti itu terus....lama2 malah g bermanfaat....debat dan debat 
Seandainya jokowi jadi presiden lg apa yg ada dikubu prabowo g mau menerima...dan seandainya prabowo yg menang apa kubu jokowi jg g mau nerima
Kadang hanya berfikir simpel aj,yg mudah aj g usah dibikin susah...
Siapa yg jadi presiden kita dukung,dan kita ikut sukseskan program2 yg sekiranya memang bermanfaat bagi masyarakat...terutama masyarakat menengah kebawah....
Jangan lah kita saling bersitegang hanya karena fanatik...
Prabowo baik,jokowi jg baik...terus apa lg yg didebatin..,
Saya mah rakyat kecil g tau politik,cuma kadang saya meliat kalo udah debat.....wuuuuiiiiih....hebat2
Cuma jangan menjelekan...coba sekali-kali debat tapi kebaikanya....jangan kejelekanya
Masyarakat bodoh seperti saya ini g percaya dengan kejelekan2 
Coba lah sekali aj debat tp mengenai kebaikAn2...capres-capres kubu A mencari fakta kebaikan kubu B
Sebaliknya kubu B mencari kebaikan kubu A....
Rakyat akan lebih percaya dengan hal baik....bukan debat saling menjatuhkan atau debat saling singgung apalah,itulah...
Saya percaya siapapun yg jadi presiden dialah sosok yg mau mengabdikan diri membawa negara dan rakyat indonesia menuju arah yg lebih maju,makmur....
Saya bukan pendukung jokowi,dan saya juga bukan pendukung prabowo...



Tetap rukun,bersatu menjadikan negara REPUBLIK INDONESIA sebagai negara maju dan negara yg lebih baik...amin",2
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRI9UBielC,ayu setiawati,1 month ago,1557717295470,"@Aldy Prisandy mirip istri andri taulani hinaannya untuk pak de, dilaporin nggak yaa",1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRMlBKZPiA,New User,1 month ago,1557717295471,Jangan mau memilih prabowo mulutnya kasar...arogan....gk pntas dicontoh....mending bang adian....kelihatan arogan tpi omgannya sopan...jls dan mudah dicerna,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRPZVkmVcu,Sri Mlyn,1 month ago,1557717295472,Aldy Prisandy semoga bpk prabowo sandi menang atas ijin dan ridho Alloh SWT serta doa para kekasih Alloh SWT....kecurangan yg masif Ingsya'Alloh bakal di tumbangkn sama Alloh SWT ...,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRPgvTKUO8,Sri Mlyn,1 month ago,1557717295474,Dud Ka Dud si mata najwa ini kan condong ke 01 brow ..gk usah heran...,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRQ9TIC9nB,Sri Mlyn,1 month ago,1557717295475,Santo Teguh klihtn siapa yg brengsek nanti brow di pengadilan Alloh SWT....,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRQp8R3JB_,Sri Mlyn,1 month ago,1557717295477,Santo Teguh tukang fitnah itu dirimu brow...,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRR7eq7NTm,Sis Woyo,1 month ago,1557717295478,Najwa Shihab . tks najwa sihab ttp presenter hebat,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRU8HC_o1I,Nur Wanto,1 month ago,1557717295480,Tetep cantik mb najwa,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRVcMCIa-C,YudiYudi YudiYudi,1 month ago,1557717295481,Mbak najwa manis dan luwes....,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRXv6wDrPA,faiqotul alamiyah,1 month ago,1557717295483,Tlg lah... Narasumber pak amin Rais & pak mahfud md,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRdb4CFpIn,Ega Maulana,1 month ago,1557717295484,"@Sri Mlyn mb Nana awas in akun arif wAyono,,yg pnya kontrakan d akherat",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRoxWV6_HA,Candra Adi winata,1 month ago,1557717295486,Mbak Najwa... Orang2  kayak anak kecil ternyata saling beradu argumen... Lucu liat.e,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uS0sZ43KTK,Hilal Nurohim,1 month ago,1557717295487,yg dislike para penduduk 02 #amPAS,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uSY4thysAt,Zhalfa Azalia Zahra,1 month ago,1557717295489,"Saya dulu suka najwa shihab karena menurut saya dia objektif, eh makin kesini semakin subjektif,  keliatan anti prabowo.",0
