replies.id	replies.user	replies.commentText
string	string	string
meta	meta	meta
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQVqoCa6Xc	Alvin Agung	selamat anda sudah berada di jalan yg sesuai dan seharusnya
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uParpwfwD1	yuki chan	Aq rakyatnya jokowi ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜
Ugxby5n5qW6ZHAKuk5V4AaABAg.8uR6fTJfDBx8uRQ5gz8Mgq	irnawan khairudin	Ulama di belakang jokowi jauh lbh byk dr pd sebelah.. Sebutin aja ulama2 blkg jokowi itu semua,kalem akhlaqulkarimah menebar kebaikan semua itu pewaris para nabi sesungguhhnya
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uPbGj43kuu	Miracles Imagination	Aku juga rakyatnya Bapak Jokowi
UgzDnlO_2MSBrgg3ohh4AaABAg.8uROHAe_8x08uRqK4h7NRa	Tusiwanto Anto	Tim kurus memikirkan perut rakyatnyaaa ðŸ˜ ðŸ†š buncit memikirkan perut sendiri. ðŸ˜ðŸ¤£ Wkwkwk
Ugxby5n5qW6ZHAKuk5V4AaABAg.8uR6fTJfDBx8uRLs7eov_0	Fuad Hasan	Bilang aja, klo di blkg jokowi ada megawati. Di belakang prabowo jg ada amien rais. Dan amien rais yg skrg bukn amien rais yg dulu.
Ugxby5n5qW6ZHAKuk5V4AaABAg.8uR6fTJfDBx8uRUC_YnDwS	Ikrom Maria	"D belakang PRABOWO ULAMA INSTANSI kebanyakan ...

Lbh byk dan real ULAMA yg d belakang JOKOWI"
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQWgJ7DbDN	Calatrava -	Semua akan cebong pada waktunya
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQWICjqSNj	Aceng Tureng	Sama kyak gue , , yg udh gk respect  sama 02
UgzdzzaSwGuUgdfSZEh4AaABAg.8uToMF2Cuge8uUPwfDpgIq	Regnifire Balado	@Periadi Indonesia Islam? Kok Tololnya kebangetan. Sekolah sampai gerbang kayaknya ni. Hahaha
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPqDmfA2FB	Saiful Anam	Kurang baca dan dengar berita,kalau ada KPPS ada yang sampai meninggal dunia, sampai hati nian bilang, CURANG
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uPbaz5fVkc	yuki chan	@Miracles Imagination Insyaallah 2 period amin
UgyctUMx8iArD0l54rR4AaABAg.8uQXHs9AG4h8uR03BBqqkb	Invia Instant	Dan FIRAUN pun mengahalalkan segala cara untuk mempertahankan jabatan. sehingga kecuranganpun dimana-mana ðŸ˜‚
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uPbkPmCGHl	Rafa Store	Aku rakyat pak presiden Jokowi .rakyat Indonesia..
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uPblgMl0Rc	khf kgd	Gue rakyatnya JOKOWI
Ugxby5n5qW6ZHAKuk5V4AaABAg.8uR6fTJfDBx8uRThWHPTQp	Subscribe Me Please	@Aris Bermansyah mohon maaf ya tp utk sexy killer kyk nya itu ga fair deh .. film itu hanya mengambil 1 sudut pandang saja yg dimana dalam hal jurnalistik sudah salah #CMIIW
UgzdzzaSwGuUgdfSZEh4AaABAg.8uToMF2Cuge8uaEAcw7ilm	Wang Michx06	"AMEN .. 

JOKO WIDODO 
PILIHAN TUHAN YESUS KRISTUS
ADALAH PRESIDEN PILIHAN DEWA DAN DEWI
PILIHAN ALLAH
PILLIHAN NENEK MOYANG
PILIHAN BAPA DI SORGA 
PILLIHAN SANG HYANG WIDHI 
PILIHAN KONGCO DAN MAKCO 
PILIHAN BUDHA 
PILIHAN YAHWEH

PRABOWO PILIHAN ORANG GILA"
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQazp2bzKc	random lurker	"@Andi Irawan Attitude kaum 02 memang buruk sekali.  Wajar aja masyarakat kehilangan respect.

Coba kalo prabowo ikut jalan Sandi yang kalem dan nunggu real count tanpa ricuh."
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPq2Ti47IM	Lucky DrawPhising	Riyanto Haryono emang curang kok KPU liat aja nnti pasti akan ke bongkar semua kecurangan yang ada di indonesia ini !!!
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQDVoGw3co	DA FOOTBALL TV	pemimpin itu melayani
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQHtxXTrdb	Ahmadi Arismaharto	Presiden itu pelayan rakyat.. Raja maunya dilayani.. Jadi ya nilai sendirilah dari kedua perilaku di atas.. Dan putuskan sendiri.. Mau dipimpin oleh presiden atau raja?
UgzdzzaSwGuUgdfSZEh4AaABAg.8uToMF2Cuge8uUnKxHUgVa	Viqi Wulandari	@Periadi PANCASILA MAS ! KETUHANAN YANG MAHA ESA ! Tak gedik lho nanti kamu mas ðŸ˜Œ
UgxyYL2ZcY6wm5setOt4AaABAg.8uRSUIr5qS88uTj81ac-V0	Hendra	@ikhsan triadi cb ke tanah abang, grogol pas mlm2, mas. PKL menguasai trotoar. Ada warteg yg mlh sampe mkn badan jln. Kalau itu Anda sebut sebagai kemajuan, patut dipertanyakan tingkat kewarasan anda
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uPbxEQexjI	della.1225 dellarusneni1225	aku jga rakyat jokowi donk
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQWCMGwMtX	Galihgosonk 16	"Hhh gpp.. Wajar saja Namanya juga emak"" sen nya kekanan tapi belok nya kekiri ðŸ˜…"
UgynVGbH35U4jM2wP4B4AaABAg.8uQQBSKu57g8uQgs0gdvqn	rifqi bahtiar	@Faisal MaTs santai aja kali panas amat dah wkwk
UgybgVhozU_blWvWtU54AaABAg.8uST5nMwA0W8uV3ixUqh0H	Hendra Gunawan	@BINTANG la yose indonesia ky apa??bgus kok...Indonesia skrang di akui luar negri...prospek kedepan jelas...hubungan internasional bagus.. psti mau bilang  sembako mahal + hutang nambah..klo bljar ekonomi makro ga bkal angkat itu..heran gw pakar ekonomi indo ko itu mlu yg dipake buat goblokin rakyat..pdhal mereka psti tau untungnya secara kelasnya pakar.
Ugx03KlFTAh0VU7MN6x4AaABAg.8uRYlRNjiGw8uRynenJrwK	Zen Vian	Mereka kubu 02 sdng mempertontonkan kebodohan dlm berpolitik maksa menang, mrk tdk menghargai orang lain sm sekali. Katanya bnyk ulama yg dukung tp kelakuan ky...........jd gak respect.
UgxqYKcjhDCu9Hr1lF54AaABAg.8uRQof0J1HL8uTZZcE1R5Z	Joe Channel	@Suka Ngiler gini bang, kalau terbukti curang kenapa gak dilaporin aja, knp smpe sekarang belum ada yang lapor, pakai akal sehat bang
Ugxby5n5qW6ZHAKuk5V4AaABAg.8uR6fTJfDBx8uRYjKwyJsE	Rojali Roy	@Aris Bermansyah setau saya film sexy killer itu tidak sesuai dengan fakta yg terjadi. Emang ada bnernya, tapi cerita fiktifnya, hoax serta fitnah pun banyak tersaji di film tersebut. Itu sebabnya film tersebut dicekal.
UgzEmAv2KHOJiXjEfBp4AaABAg.8uPXIFA15eM8uPY4SXNbvx	Lutfi Ansori	Jokowi 2 Periode
UgxyYL2ZcY6wm5setOt4AaABAg.8uRSUIr5qS88uTtbsQDABt	Radio Dalam	@ikhsan triadi indikatornya cuma kemang?? Muke gile
